Name	DisplayName	ShortName	EnvPackage	EnvPackageDisplay	NotAppropriateFor	Description	Example
MIGS.eu.human-vaginal.5.0	MIGS: eukaryote, human-vaginal; version 5.0	MIGS Eukaryotic	human-vaginal	human-vaginal		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02909964
MIGS.eu.microbial.5.0	MIGS: eukaryote, microbial; version 5.0	MIGS Eukaryotic	microbial	microbial mat/biofilm		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02639477
MIGS.eu.miscellaneous.5.0	MIGS: eukaryote, miscellaneous; version 5.0	MIGS Eukaryotic	miscellaneous	miscellaneous or artificial		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02838029
MIGS.eu.plant-associated.5.0	MIGS: eukaryote, plant-associated; version 5.0	MIGS Eukaryotic	plant-associated	plant-associated		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02469069
MIGS.eu.sediment.5.0	MIGS: eukaryote, sediment; version 5.0	MIGS Eukaryotic	sediment	sediment		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02903338
MIGS.eu.soil.5.0	MIGS: eukaryote, soil; version 5.0	MIGS Eukaryotic	soil	soil		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02796050
MIGS.eu.wastewater.5.0	MIGS: eukaryote, wastewater; version 5.0	MIGS Eukaryotic	wastewater	wastewater/sludge		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02928772
MIGS.eu.water.5.0	MIGS: eukaryote, water; version 5.0	MIGS Eukaryotic	water	water		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02729510
MIGS.vi.5.0	MIGS: virus; version 5.0	MIGS Viral	No environmental package	No environmental package	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.air.5.0	MIGS: virus, air; version 5.0	MIGS Viral	air	air	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.built.5.0	MIGS: virus, built; version 5.0	MIGS Viral	built	built	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.host-associated.5.0	MIGS: virus, host-associated; version 5.0	MIGS Viral	host-associated	host-associated	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00792846
MIGS.vi.human-associated.5.0	MIGS: virus, human-associated; version 5.0	MIGS Viral	human-associated	human-associated	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00780298
MIGS.vi.human-gut.5.0	MIGS: virus, human-gut; version 5.0	MIGS Viral	human-gut	human-gut	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00780298
MIGS.vi.human-oral.5.0	MIGS: virus, human-oral; version 5.0	MIGS Viral	human-oral	human-oral	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00780298
MIGS.vi.human-skin.5.0	MIGS: virus, human-skin; version 5.0	MIGS Viral	human-skin	human-skin	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00780298
MIGS.vi.human-vaginal.5.0	MIGS: virus, human-vaginal; version 5.0	MIGS Viral	human-vaginal	human-vaginal	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN00780298
MIGS.vi.microbial.5.0	MIGS: virus, microbial; version 5.0	MIGS Viral	microbial	microbial mat/biofilm	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.miscellaneous.5.0	MIGS: virus, miscellaneous; version 5.0	MIGS Viral	miscellaneous	miscellaneous or artificial	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.plant-associated.5.0	MIGS: virus, plant-associated; version 5.0	MIGS Viral	plant-associated	plant-associated	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.sediment.5.0	MIGS: virus, sediment; version 5.0	MIGS Viral	sediment	sediment	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.soil.5.0	MIGS: virus, soil; version 5.0	MIGS Viral	soil	soil	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02692667
MIGS.vi.wastewater.5.0	MIGS: virus, wastewater; version 5.0	MIGS Viral	wastewater	wastewater/sludge	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02412548
MIGS.vi.water.5.0	MIGS: virus, water; version 5.0	MIGS Viral	water	water	wgs_single;wgs_batch;wgs_diploid	Use for virus genomic sequences. Organism must have lineage Viruses.	SAMN02928814
MIMAG.5.0	MIMAG: metagenome-assembled genome; version 5.0	MIMAG Metagenome-assembled Genome	No environmental package	No environmental package	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.air.5.0	MIMAG: metagenome-assembled genome, air; version 5.0	MIMAG Metagenome-assembled Genome	air	air	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.built.5.0	MIMAG: metagenome-assembled genome, built; version 5.0	MIMAG Metagenome-assembled Genome	built	built	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.host-associated.5.0	MIMAG: metagenome-assembled genome, host-associated; version 5.0	MIMAG Metagenome-assembled Genome	host-associated	host-associated	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.human-associated.5.0	MIMAG: metagenome-assembled genome, human-associated; version 5.0	MIMAG Metagenome-assembled Genome	human-associated	human-associated	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.human-gut.5.0	MIMAG: metagenome-assembled genome, human-gut; version 5.0	MIMAG Metagenome-assembled Genome	human-gut	human-gut	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.human-oral.5.0	MIMAG: metagenome-assembled genome, human-oral; version 5.0	MIMAG Metagenome-assembled Genome	human-oral	human-oral	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.human-skin.5.0	MIMAG: metagenome-assembled genome, human-skin; version 5.0	MIMAG Metagenome-assembled Genome	human-skin	human-skin	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.human-vaginal.5.0	MIMAG: metagenome-assembled genome, human-vaginal; version 5.0	MIMAG Metagenome-assembled Genome	human-vaginal	human-vaginal	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.microbial.5.0	MIMAG: metagenome-assembled genome, microbial; version 5.0	MIMAG Metagenome-assembled Genome	microbial	microbial mat/biofilm	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.miscellaneous.5.0	MIMAG: metagenome-assembled genome, miscellaneous; version 5.0	MIMAG Metagenome-assembled Genome	miscellaneous	miscellaneous or artificial	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.plant-associated.5.0	MIMAG: metagenome-assembled genome, plant-associated; version 5.0	MIMAG Metagenome-assembled Genome	plant-associated	plant-associated	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.sediment.5.0	MIMAG: metagenome-assembled genome, sediment; version 5.0	MIMAG Metagenome-assembled Genome	sediment	sediment	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.soil.5.0	MIMAG: metagenome-assembled genome, soil; version 5.0	MIMAG Metagenome-assembled Genome	soil	soil	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.wastewater.5.0	MIMAG: metagenome-assembled genome, wastewater; version 5.0	MIMAG Metagenome-assembled Genome	wastewater	wastewater	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMAG.water.5.0	MIMAG: metagenome-assembled genome, water; version 5.0	MIMAG Metagenome-assembled Genome	water	water	wgs_diploid	Use for metagenome-assembled genome sequences produced using computational binning tools that group sequences into individual organism genome assemblies starting from metagenomic data sets. Organism cannot contain the term 'metagenome'. Use the MIUVIG package for virus genomes.	
MIMARKS.specimen.5.0	MIMARKS: specimen; version 5.0	MIMARKS Specimen	No environmental package	No environmental package	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02905116
MIMARKS.specimen.air.5.0	MIMARKS: specimen, air; version 5.0	MIMARKS Specimen	air	air	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02905116
MIMARKS.specimen.built.5.0	MIMARKS: specimen, built; version 5.0	MIMARKS Specimen	built	built	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02905116
MIMARKS.specimen.host-associated.5.0	MIMARKS: specimen, host-associated; version 5.0	MIMARKS Specimen	host-associated	host-associated	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02902605
MIMARKS.specimen.human-associated.5.0	MIMARKS: specimen, human-associated; version 5.0	MIMARKS Specimen	human-associated	human-associated	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02256168
MIMARKS.specimen.human-gut.5.0	MIMARKS: specimen, human-gut; version 5.0	MIMARKS Specimen	human-gut	human-gut	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02799483
MIMARKS.specimen.human-oral.5.0	MIMARKS: specimen, human-oral; version 5.0	MIMARKS Specimen	human-oral	human-oral	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02486006
MIMARKS.specimen.human-skin.5.0	MIMARKS: specimen, human-skin; version 5.0	MIMARKS Specimen	human-skin	human-skin	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02256168
MIMARKS.specimen.human-vaginal.5.0	MIMARKS: specimen, human-vaginal; version 5.0	MIMARKS Specimen	human-vaginal	human-vaginal	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02256168
MIMARKS.specimen.microbial.5.0	MIMARKS: specimen, microbial; version 5.0	MIMARKS Specimen	microbial	microbial mat/biofilm	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02905116
MIMARKS.specimen.miscellaneous.5.0	MIMARKS: specimen, miscellaneous; version 5.0	MIMARKS Specimen	miscellaneous	miscellaneous or artificial	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02690052
MIMARKS.specimen.plant-associated.5.0	MIMARKS: specimen, plant-associated; version 5.0	MIMARKS Specimen	plant-associated	plant-associated	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN03009543
MIMARKS.specimen.sediment.5.0	MIMARKS: specimen, sediment; version 5.0	MIMARKS Specimen	sediment	sediment	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02044724
MIMARKS.specimen.soil.5.0	MIMARKS: specimen, soil; version 5.0	MIMARKS Specimen	soil	soil	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02468916
MIMARKS.specimen.wastewater.5.0	MIMARKS: specimen, wastewater; version 5.0	MIMARKS Specimen	wastewater	wastewater/sludge	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02382038
MIMARKS.specimen.water.5.0	MIMARKS: specimen, water; version 5.0	MIMARKS Specimen	water	water	wgs_single;wgs_batch;wgs_diploid	Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained from cultured or voucher-identifiable specimens. Organism cannot contain the term 'metagenome'.	SAMN02927987
MIMARKS.survey.air.5.0	MIMARKS: survey, air; version 5.0	MIMARKS Survey related	air	air	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02872842
MIMARKS.survey.built.5.0	MIMARKS: survey, built; version 5.0	MIMARKS Survey related	built	built	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02872842
MIMARKS.survey.host-associated.5.0	MIMARKS: survey, host-associated; version 5.0	MIMARKS Survey related	host-associated	host-associated	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02908805
MIMARKS.survey.human-associated.5.0	MIMARKS: survey, human-associated; version 5.0	MIMARKS Survey related	human-associated	human-associated	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02256130
MIMARKS.survey.human-gut.5.0	MIMARKS: survey, human-gut; version 5.0	MIMARKS Survey related	human-gut	human-gut	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02722276
MIMARKS.survey.human-oral.5.0	MIMARKS: survey, human-oral; version 5.0	MIMARKS Survey related	human-oral	human-oral	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02584167
MIMARKS.survey.human-skin.5.0	MIMARKS: survey, human-skin; version 5.0	MIMARKS Survey related	human-skin	human-skin	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02256130
MIMARKS.survey.human-vaginal.5.0	MIMARKS: survey, human-vaginal; version 5.0	MIMARKS Survey related	human-vaginal	human-vaginal	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02256130
MIMARKS.survey.microbial.5.0	MIMARKS: survey, microbial; version 5.0	MIMARKS Survey related	microbial	microbial mat/biofilm	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02898629
MIMARKS.survey.miscellaneous.5.0	MIMARKS: survey, miscellaneous; version 5.0	MIMARKS Survey related	miscellaneous	miscellaneous or artificial	wgs_single;wgs_batch;wgs_diploid	"Use for any type of marker gene sequences, eg, 16S, 18S, 23S, 28S rRNA or COI obtained directly from the environment, without culturing or identification of the organisms. Organism must be a metagenome, where lineage starts with 
unclassified sequences and scientific name ends with 'metagenome'."	SAMN02721610
