taxonomy_id	taxonomy_name
491079	Treponema pallidum subsp. pertenue str. CDC2
491080	Treponema pallidum subsp. pertenue str. Gauthier
144406	Microctonus aethiopoides
6087	Hydra vulgaris
7227	Drosophila melanogaster
29170	Ancylostoma caninum
9261	Tachyglossus aculeatus
113334	Melitaea cinxia
9606	Homo sapiens
384638	[Bacteroides] pectinophilus
411488	Clostridium sp. A2-232
6337	Trichinella pseudospiralis
502869	Saccharomyces cerevisiae YJM451
364106	Escherichia coli UTI89
272943	Rhodobacter sphaeroides 2.4.1
367830	Staphylococcus aureus subsp. aureus USA300
105843	Anaerobutyricum soehngenii
9258	Ornithorhynchus anatinus
37347	Tupaia belangeri
9615	Canis lupus familiaris
7741	Branchiostoma belcheri
496921	stromatolite metagenome
496920	saltern metagenome
449393	freshwater metagenome
496922	coral metagenome
496924	fish metagenome
4932	Saccharomyces cerevisiae
3708	Brassica napus
10090	Mus musculus
527639	wastewater metagenome
410658	soil metagenome
412755	marine sediment metagenome
453362	Streptococcus pneumoniae CDC1873-00
453363	Streptococcus pneumoniae SP195
453364	Streptococcus pneumoniae CDC0288-04
453366	Streptococcus pneumoniae MLV-016
453361	Streptococcus pneumoniae CDC1087-00
453365	Streptococcus pneumoniae CDC3059-06
3847	Glycine max
105023	Nothobranchius furzeri
242619	Porphyromonas gingivalis W83
511145	Escherichia coli str. K-12 substr. MG1655
5808	Cryptosporidium muris
3886	Phaseolus coccineus
426355	Methylobacterium radiotolerans JCM 2831
452471	Candidatus Amoebophilus asiaticus 5a2
126740	Thermotoga sp. RQ2
41431	Rippkaea orientalis PCC 8801
465515	Micrococcus luteus NCTC 2665
1108	Chloroflexus aurantiacus
395495	Leptothrix cholodnii SP-6
395963	Beijerinckia indica subsp. indica ATCC 9039
452637	Opitutus terrae PB90-1
65393	Gloeothece citriformis PCC 7424
6239	Caenorhabditis elegans
509633	Pseudomonas aeruginosa PAb1
71139	Eucalyptus grandis
9555	Papio anubis
1408	Bacillus pumilus
491071	Paraburkholderia tuberum STM678
491072	Paraburkholderia unamae MTI-641
1188	Tolypothrix sp. PCC 7601
545774	Streptococcus gallolyticus subsp. gallolyticus TX20005
386894	Streptococcus iniae 9117
243276	Treponema pallidum subsp. pallidum str. Nichols
545776	Treponema paraluiscuniculi Cuniculi A
545771	Francisella tularensis B-SA
491123	Francisella tularensis subsp. holarctica OR96246
491081	Treponema pallidum subsp. pallidum DAL-1
491078	Treponema pallidum subsp. pertenue str. SamoaD
455434	Treponema pallidum subsp. pallidum SS14
5811	Toxoplasma gondii
77133	uncultured bacterium
513051	Burkholderia multivorans CGD1
513052	Burkholderia multivorans CGD2
513053	Burkholderia multivorans CGD2M
452919	ice metagenome
3702	Arabidopsis thaliana
7368	Haematobia irritans
7130	Manduca sexta
115425	Cochliomyia hominivorax
7237	Drosophila pseudoobscura
408170	human gut metagenome
320771	Pedosphaera parvula Ellin514
443144	Geobacter sp. M21
395962	Rippkaea orientalis PCC 8802
471223	Geobacillus sp. WCH70
316385	Escherichia coli str. K-12 substr. DH10B
564287	Bacillus vallismortis NRRL B-14890
562017	Streptococcus pyogenes SS1447
395961	Cyanothece sp. PCC 7425
561522	Streptococcus pyogenes MGAS2111
497965	Gloeothece verrucosa PCC 7822
33940	Geobacillus thermodenitrificans
562020	Neisseria meningitidis N1568
562016	Streptococcus pyogenes AA216
483216	Bacteroides eggerthii DSM 20697
564619	Scheffersomyces stipitis Shi21
8090	Oryzias latipes
562018	Streptococcus pyogenes AA472
497964	Chthoniobacter flavus Ellin428
395492	Rhizobium leguminosarum bv. trifolii WSM2304
553177	Capnocytophaga sputigena ATCC 33612
59312	Sarcophaga crassipalpis
395491	Rhizobium leguminosarum bv. trifolii WSM1325
439495	Pseudovibrio sp. JE062
565143	Bacillus subtilis subsp. subtilis str. AUSI98
565144	Vibrio sp. HV10
553212	Staphylococcus capitis SK14
553204	Corynebacterium amycolatum SK46
553218	Campylobacter rectus RM3267
553184	Atopobium rimae ATCC 49626
553199	Cutibacterium acnes SK137
546270	Gemella haemolysans ATCC 10379
500640	Citrobacter youngae ATCC 29220
411486	Clostridium sp. M62/1
28610	Rhagoletis pomonella
40031	Rhizophora mangle
93780	Heritiera littoralis
500633	[Clostridium] hiranonis DSM 13275
500632	Tyzzerella nexilis DSM 1787
29172	Dictyocaulus viviparus
500638	Edwardsiella tarda ATCC 23685
500639	Enterobacter cancerogenus ATCC 35316
428127	Absiella dolichum DSM 3991
37862	Heterorhabditis bacteriophora
500635	Mitsuokella multacida DSM 20544
36329	Plasmodium falciparum 3D7
526962	Acinetobacter baumannii WBL7355
13164	Myzus persicae
499171	Helicobacter pylori HPKX_438_AG0C1
499172	Helicobacter pylori HPKX_438_CA4C1
51029	Heterodera glycines
60423	Fagus grandifolia
134033	Castanea dentata
60419	Castanea mollissima
3512	Quercus rubra
3513	Quercus alba
62977	Acinetobacter baylyi ADP1
347257	Mycoplasma agalactiae PG2
9031	Gallus gallus
883	Desulfovibrio vulgaris str. 'Miyazaki F'
7868	Callorhinchus milii
58529	Senecio madagascariensis
7719	Ciona intestinalis
37349	Mammuthus primigenius
43988	Cyanothece
157791	Vigna radiata
4896	Schizosaccharomyces pombe
3352	Pinus taeda
404933	Astrosporangium hypotensionis
467661	Rhodobacteraceae bacterium KLH11
6277	Acanthocheilonema viteae
45264	Acropora millepora
496923	mosquito metagenome
585202	Streptococcus mitis SK321
585203	Streptococcus mitis SK564
585204	Streptococcus mitis SK597
585201	Salmonella enterica subsp. enterica serovar Newport str. CVM36720
585200	Streptomyces sp. H668
8296	Ambystoma mexicanum
396588	Thioalkalivibrio sulfidiphilus HL-EbGr7
535289	Acidovorax ebreus TPSY
521460	Caldicellulosiruptor bescii DSM 6725
29760	Vitis vinifera
48416	Zoarces viviparus
525258	Clostridioides difficile NAP07
525259	Clostridioides difficile NAP08
588121	Streptococcus agalactiae str. Camel
450394	Staphylococcus aureus subsp. aureus USA300_TCH959
548479	Mobiluncus curtisii ATCC 43063
9823	Sus scrofa
34690	Anopheles melas
1094987	Candida albicans 19F
616674	Cyanophage SS120-1
1094982	Candida albicans L26
1094991	Candida albicans P34048
1094985	Candida albicans P37005
580240	Saccharomyces cerevisiae W303
1230056	Cryptococcus neoformans var. grubii AD1-7a
1230065	Cryptococcus neoformans var. grubii AD1-83a
1230061	Cryptococcus neoformans var. grubii Br795
1230070	Cryptococcus neoformans var. grubii Bt120
1230068	Cryptococcus neoformans var. grubii c45
1295840	Cryptococcus neoformans CHC193
1230060	Cryptococcus neoformans var. grubii Gb118
1230058	Cryptococcus neoformans var. grubii D17-1
178876	Cryptococcus neoformans var. grubii
1230066	Cryptococcus neoformans var. grubii MW-RSA1955
69004	Anopheles farauti
536466	Synechococcus phage S-SSM4
1230062	Cryptococcus neoformans var. grubii MW-RSA36
1230077	Cryptococcus neoformans var. grubii Tu401-1
1230069	Cryptococcus neoformans var. grubii MW-RSA852
525245	Gleimia coleocanis DSM 15436
555311	Saccharolobus solfataricus 98/2
544556	Geobacillus sp. Y412MC61
396595	Thioalkalivibrio sp. K90mix
595494	Tolumonas auensis DSM 9187
399795	Comamonas testosteroni KF-1
543728	Variovorax paradoxus S110
521011	Methanosphaerula palustris E1-9c
516466	Burkholderia sp. H160
521045	Kosmotoga olearia TBF 19.5.1
547559	Natrialba magadii ATCC 43099
526222	Desulfovibrio salexigens DSM 2638
404930	Brucella sp. 02611
329562	Planktothrix prolifica NIVA-CYA 98
525146	Desulfovibrio desulfuricans ATCC 27774
525909	Acidimicrobium ferrooxidans DSM 10331
7955	Danio rerio
521098	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
596324	Treponema vincentii ATCC 35580
446462	Actinosynnema mirum DSM 43827
279714	Pseudogulbenkiania ferrooxidans 2002
521095	Atopobium parvulum DSM 20469
525919	Anaerococcus prevotii DSM 20548
471853	Beutenbergia cavernae DSM 12333
526224	Brachyspira murdochii DSM 12563
521097	Capnocytophaga ochracea DSM 7271
446466	Cellulomonas flavigena DSM 20109
485918	Chitinophaga pinensis DSM 2588
253616	Epimedium sagittatum
553174	Prevotella melaninogenica ATCC 25845
553178	Capnocytophaga gingivalis ATCC 33624
51351	Brassica rapa subsp. pekinensis
553201	Rothia mucilaginosa ATCC 25296
553207	Corynebacterium matruchotii ATCC 14266
3435	Persea americana
3467	Eschscholzia californica
9796	Equus caballus
45351	Nematostella vectensis
10228	Trichoplax adhaerens
400682	Amphimedon queenslandica
3880	Medicago truncatula
7004	Locusta migratoria
1809	Mycobacterium ulcerans
596329	Peptostreptococcus anaerobius 653-L
46244	Drosophila pseudoobscura bogotana
7229	Drosophila miranda
100272	uncultured eukaryote
5306	Phanerochaete chrysosporium
525378	Staphylococcus caprae M23864:W1
578460	Nosema ceranae BRL01
36166	Megaselia scalaris
525372	Sphingobacterium spiritivorum ATCC 33300
553175	Porphyromonas endodontalis ATCC 35406
39947	Oryza sativa Japonica Group
4081	Solanum lycopersicum
381124	Zea mays subsp. mays
109461	Varroa destructor
7460	Apis mellifera
446471	Xylanimonas cellulosilytica DSM 15894
2711	Citrus sinensis
352165	Pyramidobacter piscolens W5455
536056	Escherichia coli DH1
555088	Dethiobacter alkaliphilus AHT 1
287	Pseudomonas aeruginosa
100235	uncultured actinomycete
4565	Triticum aestivum
15368	Brachypodium distachyon
580327	Thermoanaerobacterium thermosaccharolyticum DSM 571
525246	Actinomyces urogenitalis DSM 15434
580331	Thermoanaerobacter italicus Ab9
582402	Hirschia baltica ATCC 49814
580332	Sideroxydans lithotrophicus ES-1
536227	Clostridium carboxidivorans P7
443143	Geobacter sp. M18
582744	Methylovorus glucosetrophus SIP3-4
573065	Asticcacaulis excentricus CB 48
581103	Geobacillus sp. Y4.1MC1
582899	Hyphomicrobium denitrificans ATCC 51888
153948	Nitrosomonas sp. AL212
395494	Gallionella capsiferriformans ES-2
583358	Thermoanaerobacter mathranii subsp. mathranii str. A3
446469	Sanguibacter keddieii DSM 10542
469381	Dethiosulfovibrio peptidovorans DSM 11002
471852	Thermomonospora curvata DSM 43183
248310	Heliconius melpomene malleti
171918	Heliconius melpomene cythera
469382	Halogeometricum borinquense DSM 11551
471855	Slackia heliotrinireducens DSM 20476
469383	Conexibacter woesei DSM 14684
471856	Jonesia denitrificans DSM 20603
469378	Cryptobacterium curtum DSM 15641
479432	Streptosporangium roseum DSM 43021
479435	Kribbella flavida DSM 17836
469371	Thermobispora bispora DSM 43833
479434	Sphaerobacter thermophilus DSM 20745
572477	Allochromatium vinosum DSM 180
523794	Leptotrichia buccalis C-1013-b
479437	Eggerthella lenta DSM 2243
525903	Thermanaerovibrio acidaminovorans DSM 6589
502025	Haliangium ochraceum DSM 14365
521096	Tsukamurella paurometabola DSM 20162
504472	Spirosoma linguale DSM 74
526226	Gordonia bronchialis DSM 43247
504728	Meiothermus ruber DSM 1279
525897	Desulfomicrobium baculatum DSM 4028
519441	Streptobacillus moniliformis DSM 12112
523791	Kangiella koreensis DSM 16069
522772	Denitrovibrio acetiphilus DSM 12809
526218	Sebaldella termitidis ATCC 33386
521674	Planctopirus limnophila DSM 3776
479436	Veillonella parvula DSM 2008
485914	Halomicrobium mukohataei DSM 12286
519442	Halorhabdus utahensis DSM 12940
526225	Geodermatophilus obscurus DSM 43160
525898	Sulfurospirillum deleyianum DSM 6946
573061	Clostridium cellulovorans 743B
264203	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
4146	Olea europaea
450747	Dorea sp. 4_1_36FAA
40674	Mammalia
561230	Pectobacterium carotovorum subsp. carotovorum PC1
579405	Dickeya paradisiaca Ech703
561229	Dickeya chrysanthemi Ech1591
866768	Escherichia coli 'BL21-Gold(DE3)pLysS AG'
579137	Methanocaldococcus vulcanius M7
561231	Pectobacterium parmentieri WPP163
573060	Acidovorax delafieldii 2AN
555778	Halothiobacillus neapolitanus c2
515635	Dictyoglomus turgidum DSM 6724
570506	Escherichia coli O157:H7 str. FRIK966
637388	Escherichia coli O157:H7 str. FRIK2000
553198	Propionibacterium acidifaciens F0233
62324	Anopheles funestus
644223	Komagataella phaffii GS115
446470	Stackebrandtia nassauensis DSM 44728
446465	Brachybacterium faecium DSM 4810
573064	Methanocaldococcus fervens AG86
59374	Fibrobacter succinogenes subsp. succinogenes S85
573059	Desulfovibrio vulgaris RCH1
518766	Rhodothermus marinus DSM 4252
181097	Corvus corone corone
181096	Corvus cornix
588581	Ruminiclostridium papyrosolvens DSM 2782
588857	Thermoanaerobacter sp. X561
590168	Thermotoga naphthophila RKU-10
591019	Staphylothermus hellenicus DSM 12710
75379	Thiomonas intermedia K12
589865	Desulfurivibrio alkaliphilus AHT 2
590409	Dickeya zeae Ech586
589924	Ferroglobus placidus DSM 10642
506599	bovine gut metagenome
589861	Thermoanaerobacter ethanolicus CCSD1
7240	Drosophila simulans
35608	Artemisia annua
9940	Ovis aries
592316	Pantoea sp. At-9b
380704	Aspergillus niger ATCC 1015
45322	Tragopogon dubius
3848	Glycine soja
4577	Zea mays
79327	Schmidtea mediterranea
226899	Grosmannia clavigera
655863	Grosmannia clavigera kw1407
1522	[Clostridium] innocuum
665027	Pseudomonas amygdali pv. aesculi str. NCPPB 3681
591153	Pseudomonas syringae pv. syringae FF5
251722	Pseudomonas amygdali pv. aesculi
559736	Xanthomonas vasicola pv. vasculorum NCPPB 702
559737	Xanthomonas campestris pv. musacearum NCPPB 4381
573066	Pseudomonas amygdali pv. tabaci str. ATCC 11528
41653	Tragopogon pratensis
255622	Tragopogon miscellus
8364	Xenopus tropicalis
4530	Oryza sativa
9913	Bos taurus
640293	candidate division NC10
536019	Mesorhizobium opportunistum WSM2075
4931	Saccharomyces bayanus
52071	Ancistrus
34816	Morone saxatilis
228870	Tarenaya spinosa
190802	Gynandropsis gynandra
8022	Oncorhynchus mykiss
146530	Avena barbata
3988	Ricinus communis
669465	Mycobacterium tuberculosis variant bovis str. Ravenel
562	Escherichia coli
7092	Bombyx mandarina
99112	Phelipanche aegyptiaca
68872	Striga hermonthica
7427	Nasonia longicornis
7426	Nasonia giraulti
6396	Eisenia fetida
1346	Streptococcus iniae
637913	Helicobacter pylori v225d
428932	Triphysaria versicolor subsp. faucibarbata
32630	synthetic construct
287375	Zygaena filipendulae
662107	phyllosphere metagenome
673329	Helicobacter pylori HPKX_1039_AG0C1
673330	Helicobacter pylori HPKX_1039_AG0C2
673331	Helicobacter pylori HPKX_1039_AG4C1
673332	Helicobacter pylori HPKX_1039_AG4C2
673333	Helicobacter pylori HPKX_1172_AG0C1
673334	Helicobacter pylori HPKX_1172_AG0C2
673335	Helicobacter pylori HPKX_1172_AG4C1
673336	Helicobacter pylori HPKX_1172_AG4C2
673337	Helicobacter pylori HPKX_1259_NL0C1
673338	Helicobacter pylori HPKX_1259_NL0C2
673339	Helicobacter pylori HPKX_1259_NL4C1
673340	Helicobacter pylori HPKX_1259_NL4C2
673341	Helicobacter pylori HPKX_1379_NL0C1
673342	Helicobacter pylori HPKX_1379_NL0C2
673343	Helicobacter pylori HPKX_1379_NL4C1
673344	Helicobacter pylori HPKX_1379_NL4C2
673345	Helicobacter pylori HPKX_345_AG4C1
673346	Helicobacter pylori HPKX_345_AG4C2
673347	Helicobacter pylori HPKX_345_NL0C1
673348	Helicobacter pylori HPKX_345_NL0C2
673349	Helicobacter pylori HPKX_438_AG0C2
673350	Helicobacter pylori HPKX_438_CA4C2
6500	Aplysia californica
34573	Nautilus pompilius
1051067	Doryteuthis pealeii
6645	Octopus vulgaris
39395	Cancer borealis
242395	Xenoturbella bocki
34499	Pleurobrachia bachei
7291	Drosophila albomicans
265578	Attheya
59796	Amphora
70853	Tritonia diomedea
252551	Pleurobranchaea
506600	chicken gut metagenome
59861	Coregonus clupeaformis
6523	Lymnaea stagnalis
71516	Clione limacina
76178	Melibe leonina
170187	Streptococcus pneumoniae TIGR4
6622	Loligo vulgaris
1051066	Doryteuthis opalescens
283763	Planorbella trivolvis
355589	Huperzia serrata
380491	Phlegmariurus carinatus
6706	Homarus americanus
31167	Beroe cucumis
56245	Aglantha digitale
27932	Sycon
83887	Aphrocallistes vastus
490051	Phoronopsis harmeri
51107	Bolinopsis sp.
79795	Meara sp.
84070	Childia
596326	Lactobacillus jensenii 208-1
679188	Lactobacillus crispatus 214-1
679189	Prevotella timonensis CRIS 5C-B1
679190	Prevotella buccalis ATCC 35310
679191	Prevotella amnii CRIS 21A-A
679192	Bulleidia extructa W1219
8040	Salvelinus namaycush
180498	Jatropha curcas
38727	Panicum virgatum
38869	Salvia sclarea
646099	human metagenome
7091	Bombyx mori
7962	Cyprinus carpio
10847	Escherichia virus phiX174
1392	Bacillus anthracis
3711	Brassica rapa
9157	Parus major
89462	Bubalus bubalis
526227	Meiothermus silvanus DSM 9946
81985	Capsella rubella
7394	Glossina morsitans
5807	Cryptosporidium parvum
5861	Plasmodium yoelii
5855	Plasmodium vivax
5865	Babesia bovis
30069	Anopheles stephensi
5821	Plasmodium berghei
9785	Loxodonta africana
46689	Ficedula hypoleuca
156563	Cyanistes caeruleus
672	Vibrio vulnificus
914127	Vibrio vulnificus MO6-24/O
686330	Paraburkholderia silvatlantica SRMrh-20
596323	Leptotrichia goodfellowii F0264
537970	Helicobacter canadensis MIT 98-5491
552535	Helicobacter pullorum NCTC 12824
525380	Streptococcus pneumoniae ST 618
686990	Treponema pallidum subsp. pallidum str. Mexico A
4102	Petunia x hybrida
652676	hydrothermal vent metagenome
3885	Phaseolus vulgaris
281081	Lolium perenne subsp. perenne
190676	Archilochus colubris
9244	Calypte anna
13146	Melopsittacus undulatus
328808	Streptopelia risoria
8496	Alligator mississippiensis
281253	Amphilophus zaliosus
676247	Amphilophus astorquii
1301	Streptococcus
687916	Yersinia pestis KIM D27
85066	Corvus brachyrhynchos
8790	Dromaius novaehollandiae
328815	Manacus vitellinus
633145	Dehalococcoides mccartyi GT
223761	Gonystylus bancanus
2104	Mycoplasma pneumoniae
76632	Thermobacillus
470	Acinetobacter baumannii
509190	Caulobacter segnis ATCC 21756
10096	Mus spretus
59729	Taeniopygia guttata
639283	Starkeya novella DSM 506
443226	Coccidioides posadasii str. Silveira
5501	Coccidioides immitis
8255	Paralichthys olivaceus
3659	Cucumis sativus
640131	Klebsiella variicola At-22
27288	Naumovozyma castellii
36033	Vanderwaltozyma polyspora
5476	Candida albicans
5833	Plasmodium falciparum
413997	Escherichia coli B str. REL606
694571	Clostridium botulinum 4411
527002	Yersinia aldovae ATCC 35236
3469	Papaver somniferum
35005	Thamnophis elegans
818	Bacteroides thetaiotaomicron
349968	Yersinia bercovieri ATCC 43970
9860	Cervus elaphus
349966	Yersinia frederiksenii ATCC 33641
349965	Yersinia intermedia ATCC 29909
527012	Yersinia kristensenii ATCC 33638
349967	Yersinia mollaretii ATCC 43969
527005	Yersinia ruckeri ATCC 29473
527004	Yersinia rohdei ATCC 43380
55062	Pinus ponderosa
226230	Saccharomyces kudriavzevii IFO 1802
114524	Saccharomyces kudriavzevii
332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii
273057	Saccharolobus solfataricus P2
693744	Vibrio cholerae NG288-36
693743	Vibrio cholerae PS15
693742	Vibrio cholerae 5052
693741	Vibrio cholerae 0139-ARG
693740	Vibrio cholerae PG38
693738	Vibrio cholerae T5957
693737	Vibrio cholerae O145B
693736	Vibrio cholerae CS351
410661	mouse gut metagenome
79782	Cimex lectularius
3603	Vitis
103351	Vitis amurensis
103355	Vitis labrusca
103349	Vitis rotundifolia
104503	Euphydryas aurinia
3337	Pinus
3318	Pinaceae
3327	Larix occidentalis
881900	Loricaria cf. cataphracta YSG-2010
33419	Heliconius numata
104341	Postia placenta
640511	Paraburkholderia sp. CCGE1002
697894	Escherichia coli ETEC WS3080A
697893	Escherichia coli ETEC TW03576
644281	Methanocaldococcus sp. FS406-22
644283	Micromonospora aurantiaca ATCC 27029
643561	Acidovorax avenae subsp. avenae ATCC 19860
693747	Vibrio mimicus 7555
697898	Escherichia coli ETEC TW03741
697897	Escherichia coli ETEC DS168-1
697896	Escherichia coli ETEC TW03574
697895	Escherichia coli ETEC TW03585
697899	Escherichia coli ETEC TW03439
697900	Escherichia coli ETEC TW03452
697901	Escherichia coli ETEC WS2068A
697902	Escherichia coli ETEC TW14691
697903	Escherichia coli ETEC WS1896A
539655	human skin metagenome
691159	Clostridioides difficile 6466
1352	Enterococcus faecium
699246	Mageeibacillus indolicus UPII9-5
699218	Megasphaera genomosp. type_1 str. 28L
652103	Rhodopseudomonas palustris DX-1
691160	Clostridioides difficile 6503
691161	Clostridioides difficile 6534
691158	Clostridioides difficile 6407
77259	Papilio dardanus
7165	Anopheles gambiae
7159	Aedes aegypti
7167	Anopheles albimanus
7173	Anopheles arabiensis
3345	Pinus monticola
7168	Anopheles dirus
7170	Anopheles freeborni
34691	Anopheles quadriannulatus
7166	Anopheles quadrimaculatus
701091	Bipolaris maydis C5
5911	Tetrahymena thermophila
9598	Pan troglodytes
9544	Macaca mulatta
701178	Francisella tularensis subsp. tularensis FSC043
702656	compost metagenome
74613	Glycyrrhiza uralensis
44588	Panax quinquefolius
44689	Dictyostelium discoideum
5786	Dictyostelium purpureum
3635	Gossypium hirsutum
208964	Pseudomonas aeruginosa PAO1
556182	freshwater sediment metagenome
2261	Pyrococcus furiosus
9600	Pongo pygmaeus
9601	Pongo abelii
99806	Taxus cuspidata
158687	Plebejus melissa melissa
158688	Plebejus melissa samuelis
155165	Plebejus argyrognomon
155168	Plebejus sp. 'Warner Mts.'
499554	Plebejus sp. alpine
9305	Sarcophilus harrisii
4020	Tropaeolum majus
3634	Gossypium barbadense
29730	Gossypium raimondii
29729	Gossypium arboreum
7234	Drosophila persimilis
5147	Sordaria macrospora
39716	Paulinella
387005	Onchocerca flexuosa
408169	metagenomes
11676	Human immunodeficiency virus 1
694327	Desulfovibrio carbinoliphilus subsp. oakridgensis
648757	Rhodomicrobium vannielii ATCC 17100
439481	Aciduliprofundum boonei T469
649639	Bacillus cellulosilyticus DSM 2522
54126	Pristionchus pacificus
212035	Acanthamoeba polyphaga mimivirus
633149	Brevundimonas subvibrioides ATCC 15264
702447	Bacteroides xylanisolvens SD CC 1b
702446	Bacteroides vulgatus PC510
702450	Turicibacter sanguinis PC909
702444	Bacteroides xylanisolvens SD CC 2a
2	Bacteria
215358	Larimichthys crocea
183674	Miscanthus x giganteus
39946	Oryza sativa Indica Group
591001	Acidaminococcus fermentans DSM 20731
367110	Neurospora crassa OR74A
39053	Mammut americanum
34621	Dermacentor variabilis
9646	Ailuropoda melanoleuca
10212	Bugula neritina
287718	Deladenus siricidicola
1639	Listeria monocytogenes
3747	Fragaria x ananassa
3218	Physcomitrium patens
309341	Ficus fistulosa
1284618	environmental samples
31285	Trypanosoma brucei gambiense
59689	Arabidopsis lyrata
256318	metagenome
553171	Prevotella bivia JCVIHMP010
596315	Peptostreptococcus stomatis DSM 17678
596330	Peptoniphilus lacrimalis 315-B
596317	Staphylococcus epidermidis SK135
702443	Bacteroides ovatus SD CMC 3f
194	Campylobacter
85962	Helicobacter pylori 26695
704108	mixed DNA library
195	Campylobacter coli
166361	Onthophagus taurus
3760	Prunus persica
323851	Prunus persica var. nucipersica
10116	Rattus norvegicus
195883	Laodelphax striatellus
653733	Desulfurispirillum indicum S5
648999	Micromonospora sp. L5
10029	Cricetulus griseus
102897	Frankia sp. EUN1f
72917	Erigeron canadensis
208526	Gallus gallus gallus
638303	Thermocrinis albus DSM 14484
10377	Human herpesvirus 4 strain B95-8
640512	Burkholderia sp. CCGE1003
400187	Erynnis propertius
77252	Papilio zelicaon
663278	Ethanoligenens harbinense YUAN-3
573	Klebsiella pneumoniae
9925	Capra hircus
307491	Aphis glycines
7213	Ceratitis capitata
5062	Aspergillus oryzae
592010	Abiotrophia defectiva ATCC 49176
561177	Anaerococcus hydrogenalis DSM 7454
537012	Bacteroides cellulosilyticus DSM 14838
547042	Bacteroides coprophilus DSM 18228 = JCM 13818
483215	Bacteroides finegoldii DSM 17565
483218	[Bacteroides] pectinophilus ATCC 43243
518635	Bifidobacterium angulatum DSM 20098 = JCM 7096
518634	Bifidobacterium breve DSM 20213 = JCM 1192
566552	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
547043	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
537007	Blautia hansenii DSM 20583
511680	Butyrivibrio crossotus DSM 2876
592026	Catonella morbi ATCC 51271
518636	[Clostridium] asparagiforme DSM 15981
566550	Hungatella hathewayi DSM 13479
553973	[Clostridium] hylemonae DSM 15053
537013	[Clostridium] methylpentosum DSM 5476
521003	Collinsella intestinalis DSM 13280
445975	Collinsella stercoris DSM 13279
566549	Corynebacterium matruchotii ATCC 33806
411464	Desulfovibrio piger ATCC 29098
592028	Dialister invisus DSM 15470
546274	Eikenella corrodens ATCC 23834
592031	Eubacterium saphenum ATCC 49989
518637	Holdemanella biformis DSM 3989
411469	Anaerobutyricum hallii DSM 3353
546275	Fusobacterium periodonticum ATCC 33693
545696	Holdemania filiformis DSM 12042
629741	Kingella oralis ATCC 51147
521002	Methanobrevibacter smithii DSM 2374
483214	Methanobrevibacter smithii DSM 2375
546262	Neisseria cinerea ATCC 14685
546263	Neisseria elongata subsp. glycolytica ATCC 29315
